id,name_th,name_en,province_id
877,ศรีนครินทร์,ศรีนครินทร์,93
878,เมืองพัทลุง,เมืองพัทลุง,93
879,ควนขนุน,ควนขนุน,93
880,ปากพะยูน,ปากพะยูน,93
881,เขาชัยสน,เขาชัยสน,93
882,บางแก้ว,บางแก้ว,93
883,ตะโหมด,ตะโหมด,93
884,ป่าบอน,ป่าบอน,93
885,ศรีบรรพต,ศรีบรรพต,93
886,ป่าพะยอม,ป่าพะยอม,93
887,เมืองปัตตานี,เมืองปัตตานี,94
888,สายบุรี,สายบุรี,94
889,โคกโพธิ์,โคกโพธิ์,94
890,ปะนาเระ,ปะนาเระ,94
891,ทุ่งยางแดง,ทุ่งยางแดง,94
892,มายอ,มายอ,94
893,ยะหริ่ง,ยะหริ่ง,94
894,ยะรัง,ยะรัง,94
895,หนองจิก,หนองจิก,94
896,แม่ลาน,แม่ลาน,94
897,ไม้แก่น,ไม้แก่น,94
898,กะพ้อ,กะพ้อ,94
899,กรงปินัง,กรงปินัง,95
900,เมืองยะลา,เมืองยะลา,95
901,เบตง,เบตง,95
902,กาบัง,กาบัง,95
903,ยะหา,ยะหา,95
904,บันนังสตา,บันนังสตา,95
905,รามัน,รามัน,95
906,ธารโต,ธารโต,95
907,เมืองนราธิวาส,เมืองนราธิวาส,96
908,ตากใบ,ตากใบ,96
909,สุไหงโก-ลก,สุไหงโก-ลก,96
910,ระแงะ,ระแงะ,96
911,เจาะไอร้อง,เจาะไอร้อง,96
912,สุไหงปาดี,สุไหงปาดี,96
913,รือเสาะ,รือเสาะ,96
914,แว้ง,แว้ง,96
915,บาเจาะ,บาเจาะ,96
916,ยี่งอ,ยี่งอ,96
917,สุคิริน,สุคิริน,96
918,ศรีสาคร,ศรีสาคร,96
919,จะแนะ,จะแนะ,96
920,บุ่งคล้า,บุ่งคล้า,97
921,เมืองบึงกาฬ,เมืองบึงกาฬ,97
922,เซกา,เซกา,97
923,โซ่พิสัย,โซ่พิสัย,97
924,พรเจริญ,พรเจริญ,97
925,ปากคาด,ปากคาด,97
926,ศรีวิไล,ศรีวิไล,97
927,บึงโขงหลง,บึงโขงหลง,97
